N,Iteracoes
5,15
5,20
5,117
5,30
5,47
5,37
5,75
5,89
5,1
5,51
6,302
6,68
6,156
6,324
6,578
6,814
6,599
6,84
6,502
6,111
7,100
7,66
7,26
7,87
7,195
7,52
7,222
7,75
7,48
7,359
8,121
8,347
8,170
8,357
8,149
8,117
8,588
8,92
8,196
8,109
9,244
9,208
9,421
9,159
9,96
9,307
9,308
9,67
9,74
9,15927
10,601
10,761
10,266
10,146
10,1028
10,193
10,1466
10,254
10,327
10,56
11,1520
11,1083
11,901
11,299
11,502
11,293
11,1100
11,2252
11,389
11,306
12,295
12,1536
12,413
12,1370
12,972
12,1062
12,296
12,282
12,366
12,2014
13,850
13,383
13,858
13,3577
13,252
13,1263
13,1364
13,1617
13,152
13,763
14,780
14,417
14,1035
14,683
14,366
14,639
14,217
14,454
14,1021
14,785
15,603
15,1674
15,875
15,205
15,2061
15,415
15,620
15,1442
15,560
15,601
16,423
16,2403
16,311
16,422
16,1923
16,545
16,1376
16,3215
16,3756
16,348
17,1394
17,1011
17,1066
17,1475
17,1119
17,3067
17,815
17,497
17,680
17,1286
18,406
18,1013
18,3259
18,2901
18,907
18,1324
18,1274
18,655
18,2634
18,487
19,1364
19,897
19,2938
19,700
19,464
19,2748
19,800
19,2644
19,569
19,686
20,858
20,1100
20,427
20,561
20,334
20,831
20,562
20,1484
20,1751
20,2052
21,1136
21,920
21,1059
21,2264
21,319
21,1975
21,2104
21,1018
21,1067
21,495
22,3915
22,1819
22,2671
22,1654
22,990
22,985
22,778
22,581
22,518
22,591
23,2602
23,957
23,3762
23,1127
23,6349
23,708
23,606
23,772
23,652
23,1507
24,667
24,805
24,4102
24,726
24,2211
24,1500
24,1648
24,3302
24,1615
24,1578
25,1094
25,965
25,1960
25,2281
25,1803
25,3077
25,1140
25,1730
25,1047
25,1301
26,1119
26,1982
26,1219
26,2340
26,933
26,1308
26,1354
26,2102
26,608
26,1903
27,2179
27,2818
27,5285
27,1506
27,2256
27,1992
27,1686
27,1540
27,4006
27,1094
28,596
28,5039
28,1375
28,740
28,3197
28,3192
28,5221
28,1124
28,1903
28,698
29,936
29,1936
29,1125
29,1708
29,1706
29,2989
29,2383
29,1611
29,1248
29,1770
30,3264
30,2137
30,3444
30,1346
30,1416
30,610
30,1726
30,874
30,1756
30,3391
31,4032
31,1417
31,1164
31,1102
31,1289
31,2956
31,1312
31,2798
31,935
31,4369
32,1726
32,3221
32,992
32,1726
32,2012
32,4964
32,1525
32,1229
32,2220
32,4215
33,3314
33,3050
33,1717
33,2380
33,2782
33,2394
33,1381
33,1298
33,1801
33,4274
34,2782
34,1231
34,1178
34,1279
34,1442
34,1675
34,2590
34,7739
34,1756
34,3591
35,2012
35,1775
35,1598
35,1621
35,1443
35,3373
35,4694
35,1847
35,3368
35,1148
36,3590
36,2607
36,2734
36,2982
36,2112
36,1495
36,3943
36,948
36,2248
36,3767
37,1209
37,3025
37,2636
37,3799
37,1508
37,2579
37,1478
37,1980
37,2724
37,1741
38,1696
38,1898
38,3260
38,2856
38,3690
38,3800
38,1354
38,1828
38,1868
38,2809
39,2358
39,1520
39,1618
39,2038
39,2287
39,3456
39,1769
39,1510
39,2780
39,2161
40,2158
40,2072
40,2757
40,1818
40,2857
40,3794
40,1997
40,2748
40,2671
40,2516
41,1969
41,3212
41,2308
41,3070
41,2303
41,4070
41,1858
41,3959
41,1554
41,2832
42,2413
42,3663
42,1472
42,2273
42,4301
42,3635
42,1317
42,2097
42,2376
42,4159
43,2996
43,5933
43,3679
43,3104
43,4099
43,3587
43,2604
43,7966
43,4509
43,3079
44,7201
44,2068
44,4668
44,1976
44,2258
44,3348
44,2942
44,1987
44,1891
44,4212
45,2625
45,1999
45,4734
45,1920
45,3871
45,2627
45,2460
45,4567
45,2771
45,2285
46,3708
46,4967
46,2018
46,2176
46,1730
46,2753
46,4086
46,2481
46,3839
46,2644
47,3130
47,2848
47,2254
47,3662
47,4756
47,2411
47,3271
47,2945
47,3278
47,3286
48,4207
48,2547
48,2509
48,3062
48,3333
48,4320
48,2164
48,4436
48,4226
48,4925
49,4712
49,5391
49,3375
49,4690
49,3831
49,2606
49,2096
49,3593
49,2874
49,4403
50,2592
50,2619
50,2670
50,6182
50,3983
50,2756
50,2763
50,3265
50,3364
50,4759
51,2650
51,3219
51,3371
51,3196
51,5797
51,4673
51,3925
51,3931
51,7260
51,3111
52,3371
52,2557
52,4050
52,3828
52,3571
52,3840
52,3145
52,3484
52,6850
52,5603
53,2598
53,3197
53,4043
53,2452
53,3774
53,3275
53,4845
53,3967
53,3675
53,5451
54,3033
54,3120
54,3387
54,3303
54,4599
54,2402
54,3922
54,2727
54,2985
54,8647
55,4579
55,3163
55,3574
55,3095
55,3945
55,7085
55,4505
55,4537
55,4712
55,4355
56,3004
56,5668
56,5608
56,5077
56,4668
56,4428
56,2180
56,3696
56,5141
56,5435
57,5399
57,4402
57,6847
57,6042
57,6360
57,3825
57,4617
57,4476
57,4426
57,3247
58,5317
58,8427
58,4812
58,3559
58,5055
58,3781
58,3940
58,3491
58,5136
58,4224
59,4852
59,3928
59,6074
59,5522
59,5402
59,5698
59,3899
59,4433
59,3039
59,4593
60,3799
60,3992
60,4144
60,4241
60,4881
60,4621
60,4237
60,4244
60,4273
60,3642
61,4324
61,3497
61,6494
61,8668
61,4991
61,4383
61,5987
61,3137
61,3933
61,5509
62,5876
62,8553
62,6401
62,3013
62,4427
62,3635
62,3740
62,3166
62,5200
62,4046
63,5708
63,4893
63,4063
63,4034
63,3709
63,3938
63,5844
63,4427
63,7280
63,4013
64,5277
64,5892
64,9294
64,7353
64,4316
64,3753
64,3888
64,8456
64,5338
64,8935
65,4490
65,6566
65,5626
65,6358
65,5001
65,7255
65,4211
65,3351
65,3663
65,7659
66,3899
66,5589
66,4522
66,7169
66,3333
66,4668
66,5968
66,7070
66,6910
66,6325
67,3641
67,3730
67,4000
67,6114
67,7181
67,4559
67,7151
67,4898
67,4609
67,4648
68,5234
68,4084
68,6126
68,6121
68,4601
68,5854
68,8451
68,5308
68,4516
68,6952
69,4666
69,8063
69,5144
69,3895
69,9955
69,4571
69,5018
69,3843
69,5239
69,5818
70,5389
70,4138
70,8151
70,6095
70,5651
70,4873
70,4560
70,7439
70,6250
70,5264
71,8634
71,6880
71,4729
71,7147
71,8319
71,4109
71,6928
71,4529
71,8817
71,4641
72,6060
72,6437
72,6806
72,4315
72,6298
72,7795
72,4535
72,6310
72,7192
72,5477
73,6625
73,5231
73,6908
73,7720
73,6037
73,5007
73,9442
73,4348
73,5569
73,4962
