n,iteracoes
5,48.2
6,353.8
7,123
8,224.6
9,1781.1
10,509.8
11,864.5
12,860.6
13,1107.9
14,639.7
15,905.6
16,1472.2
17,1241
18,1486
19,1381
20,996
21,1235.7
22,1450.2
23,1904.2
24,1815.4
25,1639.8
26,1486.8
27,2436.2
28,2308.5
29,1741.2
30,1996.4
31,2137.4
32,2383
33,2439.1
34,2526.3
35,2287.9
36,2642.6
37,2267.9
38,2505.9
39,2149.7
40,2538.8
41,2713.5
42,2770.6
43,4155.6
44,3255.1
45,2985.9
46,3040.2
47,3184.1
48,3572.9
49,3757.1
50,3495.3
51,4113.3
52,4029.9
53,3727.7
54,3812.5
55,4355
56,4490.5
57,4964.1
58,4774.2
59,4744
60,4207.4
61,5092.3
62,4805.7
63,4790.9
64,6250.2
65,5418
66,5545.3
67,5053.1
68,5724.7
69,5621.2
70,5781
71,6473.3
72,6122.5
73,6184.9
74,8433.3
75,8351.8
76,8044.5
77,6394.8
78,6896.1
79,8093.1
80,8301.8
81,7381
82,7342.8
83,7534.9
84,7682.1
85,8379.9
86,8692.9
87,8894.9
88,8271.1
89,8163.9
90,10734.6
91,8187.4
92,8453.3
93,10381
94,10475.2
95,10061.2
96,10701.7
97,10091.9
98,11373.8
99,10390
100,10789.3
101,11374.4
102,11168
103,12012.9
104,11296
105,12004.6
106,12556.2
107,12772.4
108,13023.3
109,12150.3
110,11557.3
111,13025.7
112,12513.8
113,15774
114,13879.3
115,14661
116,14355.8
117,14082.4
118,14414.8
119,14638.8
120,14466.4
121,13560.4
122,15577.8
123,17419.7
124,16501.3
125,14780.5
126,18323.5
127,16182.9
128,14671.7
129,17253.7
130,22791.9
131,17189.3
132,20527.4
133,18672.8
134,18508.9
135,18370.3
136,21098.1
137,19048.5
138,20503.7
139,19913.4
140,19571.9
141,20979.4
142,21718.7
143,18920.3
144,21629.3
145,21190.7
146,20695
147,20234.1
148,21753.8
149,23182.2
150,22151.1
151,22807
152,24985.9
153,22516.4
154,24580
155,23292.8
156,27611.5
157,23327.9
158,25629.6
159,26395.5
160,28509.3
161,33817
162,27650.4
163,26122.5
164,28366.9
165,25985.5
166,24709.4
167,24500.8
168,28426.9
169,28044.2
170,26421.2
171,27320.4
172,27986.8
173,27145.2
174,30148
175,31265.3
176,32004.7
177,28689.2
178,34293.6
179,30451.9
180,35825.1
181,36758.3
182,31060.1
183,28827.2
184,34195.7
185,33425
186,34842
187,41422.2
188,34680.9
189,37159.8
190,35152.2
191,29072.6
192,39982.2
193,36858
194,36354
195,37212.2
196,38042.9
197,38233.7
198,47643.1
199,38539.6
200,36408.1
201,44299.7
202,43876.2
203,37114.9
204,40358.4
205,40879.9
206,39011.3
207,48546.2
208,40318.2
209,38459.2
210,50012.3
211,42024.7
212,39330.6
213,40467.1
214,53955.6
215,45586.2
216,67712.7
217,54686.5
218,46726.5
219,48052.6
220,57497.5
221,50573.9
222,53680.7
223,59195.7
224,57039.7
225,45087.8
226,43503.4
227,52897
228,64234.6
229,48782.2
230,55751.3
231,54773.1
232,48311.2
233,51376.3
234,64412.9
235,51455.1
236,54895.8
237,54020.1
238,50023.6
239,50692.4
240,58431.9
241,60754.4
242,124535.9
243,54379.1
244,63691.1
245,63025.4
246,53373.3
247,62397.4
248,63274.2
249,53741.4
250,66757.1
251,53410.7
252,58073.2
253,65066.7
254,57388.4
255,55907
256,77561.8
257,62302.4
258,68981.3
259,63175.7
260,76688.3
261,83269.6
262,60059.7
263,65796.6
264,67359.1
265,76800.6
266,57002.8
267,70372.5
268,66505
269,65285.8
270,66437.6
271,71255
272,64549.1
273,64461.7
274,71693.9
275,66465.5
276,85381.2
277,78767.7
278,67491.5
279,68111.7
280,71238.9
281,116036.6
282,89876.3
283,68076.8
284,79269.3
285,68927
286,78422.8
287,89151.3
288,101362.6
289,113946.1
290,81790.3
291,106708
292,80394.1
293,86481
294,78035.6
295,69975.5
296,152834.4
297,77710.3
298,117545.2
299,88305.7
300,89418.1
301,80440.9
302,96928.4
303,80131.9
304,143816.4
305,77020.5
306,112913.3
307,86805.4
308,88344.1
309,110113.2
310,80196.3
311,96621.1
312,103905.7
313,101962.3
314,84665.9
315,88812
316,110351.6
317,101941.6
318,102003.7
319,94884.8
320,95406.1
321,131040.4
322,94252.1
323,95384.8
324,125268.2
325,82109.7
326,134315.3
327,103461.8
328,139292.4
329,169944.6
330,136258.1
331,100018.8
332,152987.5
333,98541.7
334,141370.1
335,93352.6
336,121162.6
337,125813.5
338,110171.9
339,100638.8
340,105790.9
341,140270.6
342,99652
343,113281.3
344,113247.1
345,173992.5
346,106194
347,133629.5
348,147788.9
349,107480.7
350,105228.5
351,125335.8
352,101936.8
353,165679.6
354,118294.9
355,125672.9
356,113856.5
357,119706
358,169630.6
359,110479.8
360,149646.7
361,168340.8
362,108608.4
363,106863.3
364,128489.1
365,146157.5
366,140085.5
367,150391.8
368,127430
369,110643.8
370,387486.1
371,141345.2
372,117890.3
373,125540.4
374,135900.9
375,144578.1
376,132490.8
377,152592.9
378,129024.4
379,171868.2
380,155280.9
381,123242
382,147694.8
383,158587.3
384,120667.2
385,134103.2
386,189628.2
387,174930.8
388,153519.9
389,188146.5
390,170586.4
391,221973.1
392,177085.2
393,147166.9
394,154467.5
395,137602.6
396,139756.5
397,125811.3
398,251884.7
399,144971.7
400,151557
401,157522.9
402,155462.4
403,169968.5
404,155660.8
405,167047.5
406,173716.9
407,149838.6
408,173521.6
409,189206
410,144552.1
411,221192.5
412,149838.3
413,148226.6
414,164511.5
415,174191.5
416,144895.9
417,170107.2
418,146668
419,186570.8
420,135246.5
421,160402.8
422,222454.5
423,178109.2
424,159232.6
425,176642
426,168728.4
427,197481
428,160427.5
429,217206.4
430,170806.9
431,149044.2
432,170776.3
433,203304.1
434,186213.9
435,186219
436,220097.5
437,163603.1
438,187432.2
439,193764.4
440,277686
441,224083.7
442,173003.6
