Tamanho N,Iteracoes,Tempo de servico
8,3,0.094512
8,9,0.377191
8,2,0.086814
8,17,0.959657
8,10,0.106058
8,5,0.268995
8,5,0.328867
8,9,0.392586
8,7,0.116322
8,8,0.117178
8,15,0.195011
8,22,0.307056
8,8,0.126158
8,9,0.078689
8,15,0.162936
8,3,0.083821
8,11,0.083392
8,2,0.028652
8,3,0.035495
8,8,0.426799
8,5,0.103492
8,2,0.026087
8,8,0.091518
50,14,5.194718
4,2,0.03464
4,2,0.011547
20,8,0.26985
8,11,0.072701
8,1,0.026087
8,5,0.038061
8,13,0.059871
8,5,0.029508
8,20,0.720597
8,2,0.03464
8,7,0.172772
8,20,0.673128
8,8,0.163792
8,6,0.083393
8,47,1.193155
8,17,0.924161
8,6,0.111617
8,3,0.049608
8,6,0.050891
8,2,0.094939
8,2,0.127869
8,16,0.999428
8,10,0.161226
8,8,0.245901
8,2,0.055167
5,10,0.029508
5,4,0.02566
8,32,1.127296
8,8,0.267284
8,1,0.03464
8,2,0.099215
8,5,0.091945
8,12,0.111191
50,9,4.125582
8,3,0.141553
8,3,0.148396
8,18,0.545687
8,16,0.220669
8,13,0.599571
8,8,0.106058
8,2,0.037206
8,6,0.109052
8,30,0.355809
8,2,0.066714
8,16,0.69836
8,11,0.214255
8,13,0.207413
8,12,0.139415
8,13,0.183892
8,11,0.077406
8,15,0.22238
8,14,0.126158
8,6,0.065431
8,3,0.034213
8,2,0.02181
8,3,0.183036
8,13,0.538844
